ID,Length,NGN
"NW_020167874.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_25, whole genome shotgun sequence",565605,70025
"NW_020167875.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_26, whole genome shotgun sequence",561009,28476
"NW_020167876.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_27, whole genome shotgun sequence",548416,46789
"NW_020167877.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_28, whole genome shotgun sequence",512759,28969
"NW_020167878.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_29, whole genome shotgun sequence",527496,56090
"NW_020167879.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_30, whole genome shotgun sequence",484195,57673
"NW_020167880.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_31, whole genome shotgun sequence",440175,39367
"NW_020167881.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_32, whole genome shotgun sequence",462213,45137
"NW_020167882.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_33, whole genome shotgun sequence",442200,26323
"NW_020167883.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_34, whole genome shotgun sequence",446712,40049
"NW_020167884.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_35, whole genome shotgun sequence",433784,31480
"NW_020167885.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_36, whole genome shotgun sequence",368085,36201
"NW_020167886.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_37, whole genome shotgun sequence",420783,39246
"NW_020167887.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_38, whole genome shotgun sequence",361808,43167
"NW_020167888.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_39, whole genome shotgun sequence",362833,39319
"NW_020167889.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_41, whole genome shotgun sequence",316090,29087
"NW_020167890.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_42, whole genome shotgun sequence",309264,39081
"NW_020167891.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_45, whole genome shotgun sequence",292166,43027
"NW_020167892.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_47, whole genome shotgun sequence",268098,32803
"NW_020167893.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_48, whole genome shotgun sequence",268012,29947
"NW_020167894.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_49, whole genome shotgun sequence",269156,29962
"NW_020167895.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_50, whole genome shotgun sequence",254906,26142
"NW_020167896.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_51, whole genome shotgun sequence",250399,20354
"NW_020167897.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_52, whole genome shotgun sequence",277164,10512
"NW_020167898.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_53, whole genome shotgun sequence",257254,22650
"NW_020167899.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_56, whole genome shotgun sequence",203981,11590
"NW_020167900.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_57, whole genome shotgun sequence",337365,3879
"NW_020167901.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_61, whole genome shotgun sequence",192272,26333
"NW_020167902.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_63, whole genome shotgun sequence",189656,19363
"NW_020167903.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_64, whole genome shotgun sequence",178666,11502
"NW_020167904.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_65, whole genome shotgun sequence",176155,13663
"NW_020167905.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_66, whole genome shotgun sequence",191790,17863
"NW_020167906.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_67, whole genome shotgun sequence",178861,23469
"NW_020167907.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_68, whole genome shotgun sequence",193879,20376
"NW_020167908.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_69, whole genome shotgun sequence",214156,10530
"NW_020167909.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_71, whole genome shotgun sequence",233060,8875
"NW_020167910.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_73, whole genome shotgun sequence",173458,20988
"NW_020167911.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_74, whole genome shotgun sequence",181841,8077
"NW_020167912.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_75, whole genome shotgun sequence",174795,18298
"NW_020167913.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_76, whole genome shotgun sequence",177420,16830
"NW_020167914.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_77, whole genome shotgun sequence",199143,12209
"NW_020167915.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_78, whole genome shotgun sequence",165733,15185
"NW_020167916.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_79, whole genome shotgun sequence",152131,15276
"NW_020167917.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_80, whole genome shotgun sequence",153523,16998
"NW_020167918.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_81, whole genome shotgun sequence",145664,10211
"NW_020167919.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_82, whole genome shotgun sequence",146869,18526
"NW_020167920.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_85, whole genome shotgun sequence",140956,16286
"NW_020167921.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_86, whole genome shotgun sequence",151614,16892
"NW_020167922.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_87, whole genome shotgun sequence",138717,13824
"NW_020167923.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_90, whole genome shotgun sequence",163129,12403
"NW_020167924.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_92, whole genome shotgun sequence",132020,14369
"NW_020167925.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_93, whole genome shotgun sequence",128341,13417
"NW_020167926.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_94, whole genome shotgun sequence",129782,12734
"NW_020167927.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_95, whole genome shotgun sequence",138563,17372
"NW_020167928.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_96, whole genome shotgun sequence",213988,2296
"NW_020167929.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_99, whole genome shotgun sequence",126454,12267
"NW_020167930.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_102, whole genome shotgun sequence",119245,14002
"NW_020167931.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_104, whole genome shotgun sequence",146719,11824
"NW_020167932.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_107, whole genome shotgun sequence",115315,9779
"NW_020167933.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_109, whole genome shotgun sequence",109243,14091
"NW_020167934.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_111, whole genome shotgun sequence",118530,5231
"NW_020167935.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_112, whole genome shotgun sequence",116414,12451
"NW_020167936.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_114, whole genome shotgun sequence",101143,9299
"NW_020167937.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_116, whole genome shotgun sequence",103364,10867
"NW_020167938.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_119, whole genome shotgun sequence",98608,10610
"NW_020167939.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_121, whole genome shotgun sequence",132310,2185
"NW_020167940.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_122, whole genome shotgun sequence",97254,11468
"NW_020167941.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_123, whole genome shotgun sequence",95485,8355
"NW_020167942.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_124, whole genome shotgun sequence",95924,4557
"NW_020167943.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_126, whole genome shotgun sequence",98168,11031
"NW_020167944.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_127, whole genome shotgun sequence",109858,10008
"NW_020167945.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_128, whole genome shotgun sequence",99216,12156
"NW_020167946.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_131, whole genome shotgun sequence",95303,6328
"NW_020167947.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_134, whole genome shotgun sequence",91263,7979
"NW_020167948.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_135, whole genome shotgun sequence",94190,9113
"NW_020167949.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_136, whole genome shotgun sequence",89170,11040
"NW_020167950.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_139, whole genome shotgun sequence",111518,11125
"NW_020167951.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_141, whole genome shotgun sequence",115850,10059
"NW_020167952.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_143, whole genome shotgun sequence",86785,9164
"NW_020167953.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_145, whole genome shotgun sequence",90001,8598
"NW_020167954.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_146, whole genome shotgun sequence",91718,11897
"NW_020167955.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_148, whole genome shotgun sequence",89745,9485
"NW_020167956.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_149, whole genome shotgun sequence",87786,10013
"NW_020167957.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_150, whole genome shotgun sequence",90931,10520
"NW_020167958.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_151, whole genome shotgun sequence",96257,10372
"NW_020167959.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_156, whole genome shotgun sequence",82369,10979
"NW_020167960.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_158, whole genome shotgun sequence",78621,10652
"NW_020167961.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_162, whole genome shotgun sequence",77872,9855
"NW_020167962.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_165, whole genome shotgun sequence",89862,639
"NW_020167963.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_168, whole genome shotgun sequence",159013,10085
"NW_020167964.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_169, whole genome shotgun sequence",79356,9224
"NW_020167965.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_170, whole genome shotgun sequence",76965,9305
"NW_020167966.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_172, whole genome shotgun sequence",83343,6738
"NW_020167967.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_174, whole genome shotgun sequence",79445,8589
"NW_020167968.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_175, whole genome shotgun sequence",75316,6953
"NW_020167969.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_178, whole genome shotgun sequence",73362,6771
"NW_020167970.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_179, whole genome shotgun sequence",93335,8173
"NW_020167971.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_181, whole genome shotgun sequence",79822,5790
"NW_020167972.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_183, whole genome shotgun sequence",79289,7565
"NW_020167973.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_184, whole genome shotgun sequence",71656,8239
"NW_020167974.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_185, whole genome shotgun sequence",88296,8797
"NW_020167975.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_186, whole genome shotgun sequence",73657,9234
"NW_020167976.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_188, whole genome shotgun sequence",76394,6888
"NW_020167977.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_190, whole genome shotgun sequence",70225,9595
"NW_020167978.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_194, whole genome shotgun sequence",73978,6801
"NW_020167979.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_197, whole genome shotgun sequence",78475,7995
"NW_020167980.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_200, whole genome shotgun sequence",89828,7460
"NW_020167981.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_201, whole genome shotgun sequence",89276,7895
"NW_020167982.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_204, whole genome shotgun sequence",92486,6952
"NW_020167983.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_205, whole genome shotgun sequence",67985,6288
"NW_020167984.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_207, whole genome shotgun sequence",68427,9622
"NW_020167985.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_213, whole genome shotgun sequence",68587,9768
"NW_020167986.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_217, whole genome shotgun sequence",71516,1663
"NW_020167987.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_218, whole genome shotgun sequence",65017,7980
"NW_020167988.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_219, whole genome shotgun sequence",69799,7721
"NW_020167989.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_220, whole genome shotgun sequence",102812,1231
"NW_020167990.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_221, whole genome shotgun sequence",65566,7043
"NW_020167991.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_222, whole genome shotgun sequence",67768,7998
"NW_020167992.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_223, whole genome shotgun sequence",63517,6531
"NW_020167993.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_224, whole genome shotgun sequence",157500,1270
"NW_020167994.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_226, whole genome shotgun sequence",61995,7067
"NW_020167995.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_229, whole genome shotgun sequence",102087,838
"NW_020167996.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_230, whole genome shotgun sequence",60521,5922
"NW_020167997.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_232, whole genome shotgun sequence",61345,7687
"NW_020167998.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_233, whole genome shotgun sequence",60227,7180
"NW_020167999.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_237, whole genome shotgun sequence",77769,5464
"NW_020168000.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_238, whole genome shotgun sequence",68591,7243
"NW_020168001.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_240, whole genome shotgun sequence",127782,789
"NW_020168002.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_241, whole genome shotgun sequence",74068,9567
"NW_020168003.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_250, whole genome shotgun sequence",55372,7483
"NW_020168004.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_252, whole genome shotgun sequence",66214,6686
"NW_020168005.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_254, whole genome shotgun sequence",123230,343
"NW_020168006.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_256, whole genome shotgun sequence",53559,4818
"NW_020168007.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_258, whole genome shotgun sequence",54721,5835
"NW_020168008.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_259, whole genome shotgun sequence",88892,4249
"NW_020168009.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_263, whole genome shotgun sequence",81722,6611
"NW_020168010.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_264, whole genome shotgun sequence",52633,6778
"NW_020168011.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_265, whole genome shotgun sequence",53179,3985
"NW_020168012.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_268, whole genome shotgun sequence",51538,5959
"NW_020168013.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_270, whole genome shotgun sequence",51148,6329
"NW_020168014.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_273, whole genome shotgun sequence",53986,6479
"NW_020168015.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_276, whole genome shotgun sequence",61816,1576
"NW_020168016.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_278, whole genome shotgun sequence",50870,5340
"NW_020168017.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_283, whole genome shotgun sequence",48862,5718
"NW_020168018.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_289, whole genome shotgun sequence",49065,6129
"NW_020168019.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_291, whole genome shotgun sequence",48500,6957
"NW_020168020.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_294, whole genome shotgun sequence",47539,4008
"NW_020168021.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_295, whole genome shotgun sequence",51270,5089
"NW_020168022.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_299, whole genome shotgun sequence",48297,5723
"NW_020168023.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_301, whole genome shotgun sequence",46659,5819
"NW_020168024.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_316, whole genome shotgun sequence",44877,4416
"NW_020168025.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_318, whole genome shotgun sequence",44959,4862
"NW_020168026.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_321, whole genome shotgun sequence",53468,4664
"NW_020168027.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_322, whole genome shotgun sequence",43173,3304
"NW_020168028.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_327, whole genome shotgun sequence",62962,4494
"NW_020168029.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_331, whole genome shotgun sequence",44098,5461
"NW_020168030.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_334, whole genome shotgun sequence",41828,5072
"NW_020168031.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_346, whole genome shotgun sequence",89124,9547
"NW_020168032.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_357, whole genome shotgun sequence",40467,3755
"NW_020168033.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_375, whole genome shotgun sequence",61776,4347
